"","targetRisk","targetReturn","ALASKA.AIR","BESTBUY","COCACOLA","FACEBOOK","HILTON","HP","JPMORGAN","MARRIOTT","UNITED","VERIZON"
"1",0.0388742521634699,0.00598733342255156,0,0,0.999999932359195,0,0,0,0,0,0,0.0000000676408047073362
"2",0.0363135078198595,0.00622529251700681,0,0,0.819591217836641,0,0,0,0,0,0,0.18040878216336
"3",0.0352262805371054,0.00646325170068027,0,0,0.742164623888301,0,0.0179402403172216,0,0.0164074089887379,0,0,0.223487726805739
"4",0.0343229139392387,0.00670121088435374,0.00435209033986755,0,0.703550829591475,0,0.0271107671009368,0,0.0426402411128717,0,0,0.222346071854849
"5",0.0335004788071574,0.00693917006802721,0.010217764001355,0,0.677345114508389,0.0119946736904023,0.0285797498994025,0,0.0525432577002613,0,0,0.21931944020019
"6",0.0327200294183181,0.00717712925170068,0.0152373665027923,0,0.653070943858832,0.0262878129164134,0.0292366232794437,0,0.0602470556216844,0,0,0.215920197820834
"7",0.0319838032340348,0.00741508843537415,0.0202569690042295,0,0.628796773209275,0.0405809521424244,0.0298934966594849,0,0.0679508535431076,0,0,0.212520955441478
"8",0.0312949215183928,0.00765304761904762,0.0252765715056667,0,0.604522602559719,0.0548740913684354,0.0305503700395261,0,0.0756546514645307,0,0,0.209121713062123
"9",0.0306565760599962,0.00789100680272109,0.030296174007104,0,0.580248431910162,0.0691672305944464,0.0312072434195673,0,0.0833584493859539,0,0,0.205722470682767
"10",0.0300719852679093,0.00812896598639456,0.0353157765085412,0,0.555974261260605,0.0834603698204574,0.0318641167996085,0,0.0910622473073771,0,0,0.202323228303411
"11",0.0295443402284673,0.00836692517006803,0.0403353790099784,0,0.531700090611048,0.0977535090464683,0.0325209901796497,0,0.0987660452288001,0,0,0.198923985924055
"12",0.02907674122849,0.0086048843537415,0.0453549815114157,0,0.507425919961491,0.112046648272479,0.0331778635596909,0,0.106469843150223,0,0,0.195524743544699
"13",0.0286721261986753,0.00884284353741497,0.0503745840128529,0,0.483151749311935,0.12633978749849,0.0338347369397321,0,0.114173641071646,0,0,0.192125501165344
"14",0.0283326320460239,0.00908080272108843,0.0535839313712385,0,0.461161655732516,0.139971218542145,0.0329701026217371,0,0.12154812249781,0,0.0026000673461239,0.188164901888428
"15",0.028053825350468,0.0093187619047619,0.0534059582089385,0,0.443445490698588,0.152364471799976,0.0292584473919544,0,0.128306392155996,0,0.0100653391969806,0.183153900547567
"16",0.027835527166713,0.00955672108843537,0.0532152722432166,0.000090281985459747,0.425710319795282,0.164750549569526,0.0254994208767069,0,0.135035064907921,0,0.0175300733144336,0.178169017307454
"17",0.0276776231765085,0.00979468027210884,0.0525851327839824,0.00330141250408551,0.407318158028682,0.176888586581411,0.0201028738084532,0,0.14074063807894,0,0.0249762191775882,0.174086979036858
"18",0.0275797611462262,0.0100326394557823,0.0519549933247482,0.00651254302271129,0.388925996262082,0.189026623593296,0.0147063267401994,0,0.146446211249959,0,0.0324223650407428,0.170004940766261
