Date,Open,High,Low,Close,Adj Close,Volume,Returns
1/2/18,170.160004,172.300003,169.259995,172.259995,167.19989,25555900,
1/3/18,172.529999,174.550003,171.960007,172.229996,167.170776,29517900,-0.000174142
1/4/18,172.539993,173.470001,172.080002,173.029999,167.947266,22434600,0.004634137
1/5/18,173.440002,175.369995,173.050003,175,169.859406,23660000,0.011321034
1/8/18,174.350006,175.610001,173.929993,174.350006,169.2285,20567800,-0.003721199
1/9/18,174.550003,175.059998,173.410004,174.330002,169.209091,21584000,-0.000114698
1/10/18,173.160004,174.300003,173,174.289993,169.170258,23959900,-0.000229523
1/11/18,174.589996,175.490005,174.490005,175.279999,170.13118,18667700,0.005664135
1/12/18,176.179993,177.360001,175.649994,177.089996,171.888031,25418100,0.010273496
1/16/18,177.899994,179.389999,176.139999,176.190002,171.014465,29565900,-0.005095139
1/17/18,176.149994,179.25,175.070007,179.100006,173.839005,34386800,0.016381469
1/18/18,179.369995,180.100006,178.25,179.259995,173.994293,31193400,0.000892888
1/19/18,178.610001,179.580002,177.410004,178.460007,173.217789,32425100,-0.004472801
1/22/18,177.300003,177.779999,176.600006,177,171.800674,27108600,-0.008214766
1/23/18,177.300003,179.440002,176.820007,177.039993,171.839493,32689100,0.000225928
1/24/18,177.25,177.300003,173.199997,174.220001,169.102325,51105100,-0.016056856
1/25/18,174.509995,174.949997,170.529999,171.110001,166.083679,41529000,-0.018012253
1/26/18,172,172,170.059998,171.509995,166.471924,39143000,0.002334919
1/29/18,170.160004,170.160004,167.070007,167.960007,163.026215,50640400,-0.020915654
1/30/18,165.529999,167.369995,164.699997,166.970001,162.065277,46048200,-0.005911818
1/31/18,166.869995,168.440002,166.5,167.429993,162.51178,32478900,0.002751293
2/1/18,167.169998,168.619995,166.759995,167.779999,162.851486,47230800,0.002088165
2/2/18,166,166.800003,160.100006,160.5,155.78537,86593800,-0.04435943
2/5/18,159.100006,163.880005,156,156.490005,151.893127,72738500,-0.025302065
2/6/18,154.830002,163.720001,154,163.029999,158.241013,68243800,0.040942108
2/7/18,163.089996,163.399994,159.070007,159.539993,154.853531,51608600,-0.021639561
2/8/18,160.289993,161,155.029999,155.149994,150.592499,54390500,-0.027902202
2/9/18,157.070007,157.889999,150.240005,156.410004,152.434464,70672600,0.012157253
2/12/18,158.5,163.889999,157.509995,162.710007,158.574326,60819500,0.039488658
2/13/18,161.949997,164.75,161.649994,164.339996,160.162903,32549200,0.009968024
2/14/18,163.039993,167.539993,162.880005,167.369995,163.115891,40644900,0.018269495
2/15/18,169.789993,173.089996,169,172.990005,168.593033,51147200,0.033026786
2/16/18,172.360001,174.820007,171.770004,172.429993,168.047272,40176100,-0.003242401
2/20/18,172.050003,174.259995,171.419998,171.850006,167.482025,33930500,-0.003369289
2/21/18,172.830002,174.119995,171.009995,171.070007,166.721848,37471600,-0.004549189
2/22/18,171.800003,173.949997,171.710007,172.5,168.115509,30991900,0.008324454
2/23/18,173.669998,175.649994,173.539993,175.5,171.039246,33812400,0.017241742
2/26/18,176.350006,179.389999,176.210007,178.970001,174.421036,38162200,0.019579085
2/27/18,179.100006,180.479996,178.160004,178.389999,173.855804,38928100,-0.00324588
2/28/18,179.259995,180.619995,178.050003,178.119995,173.592667,37782100,-0.001514682
3/1/18,178.539993,179.779999,172.660004,175,170.551941,48802000,-0.017671671
3/2/18,172.800003,176.300003,172.449997,176.210007,171.731186,38454000,0.006890493
3/5/18,175.210007,177.740005,174.520004,176.820007,172.325714,28401400,0.00345599
3/6/18,177.910004,178.25,176.130005,176.669998,172.179504,23788500,-0.000848812
3/7/18,174.940002,175.850006,174.270004,175.029999,170.581207,31703500,-0.00932609
3/8/18,175.479996,177.119995,175.070007,176.940002,172.442642,23774100,0.0108532
3/9/18,177.960007,180,177.389999,179.979996,175.405365,32185200,0.017034996
3/12/18,180.289993,182.389999,180.210007,181.720001,177.101135,32207100,0.009621287
3/13/18,182.589996,183.5,179.240005,179.970001,175.39563,31693500,-0.009676788
3/14/18,180.320007,180.520004,177.809998,178.440002,173.904495,29368400,-0.008537896
3/15/18,178.5,180.240005,178.070007,178.649994,174.109161,22743800,0.001176195
3/16/18,178.649994,179.119995,177.619995,178.020004,173.495193,39404700,-0.003532572
3/19/18,177.320007,177.470001,173.660004,175.300003,170.844345,33446800,-0.015397014
3/20/18,175.240005,176.800003,174.940002,175.240005,170.785858,19649400,-0.000342399
3/21/18,175.039993,175.089996,171.259995,171.270004,166.916748,37054900,-0.022915306
3/22/18,170,172.679993,168.600006,168.850006,164.558273,41490800,-0.014230423
3/23/18,168.389999,169.919998,164.940002,164.940002,160.747635,41028800,-0.0234291
3/26/18,168.070007,173.100006,166.440002,172.770004,168.378662,37541200,0.046379733
3/27/18,173.679993,175.149994,166.919998,168.339996,164.061218,40922600,-0.025975745
